word,note,folderId
悠々と,ゆうゆうと｜余裕をもって落ち着いている様子,literature
滔々と,とうとうと｜よどみなく続くさま,literature
瀟洒,しょうしゃ｜すっきりして上品なさま,literature
恬淡,てんたん｜欲がなくあっさりしているさま,literature
玲瓏,れいろう｜透き通るように美しいさま,literature
古色蒼然,こしょくそうぜん｜古びて時代を感じさせるさま,literature
影法師,かげぼうし｜光によってできる影,literature
泡沫,ほうまつ｜はかなく消えるもの,literature
茫漠,ぼうばく｜広くぼんやりしている様子,literature
憔悴,しょうすい｜疲れ果てて弱ること,literature
燐光,りんこう｜暗闇でぼんやり光る光,literature
溌剌,はつらつ｜元気で生き生きしている様子,literature
峻険,しゅんけん｜険しく厳しいこと,literature
摩天楼,まてんろう｜超高層建築,literature
草創期,そうそうき｜物事の始まりの時期,literature
幽玄,ゆうげん｜奥深く味わい深い美,literature
清冽,せいれつ｜清く澄んでいるさま,literature
寂然,じゃくぜん｜静かで物寂しい様子,literature
静謐,せいひつ｜とても静かな状態,literature
朦朧,もうろう｜ぼんやりしてはっきりしない様子,literature
典雅,てんが｜上品で優雅なこと,literature
超俗,ちょうぞく｜俗世間を超えていること,literature
憐憫,れんびん｜かわいそうに思うこと,literature
思慕,しぼ｜慕い思うこと,literature
邂逅,かいこう｜思いがけない出会い,literature
回遊,かいゆう｜巡りながら移動すること,literature
頓着,とんちゃく｜気にかけること,literature
戴冠,たいかん｜王冠を授かること,literature
溢出,いつしゅつ｜あふれ出ること,literature
漂泊,ひょうはく｜定住せずさまようこと,literature
逡巡,しゅんじゅん｜決心できずためらうこと,literature
彷徨,ほうこう｜さまようこと,literature
寥寥,りょうりょう｜広く静かな様子,literature
孤影,こえい｜孤独な影,literature
幽邃,ゆうすい｜奥深く静かなさま,literature
寂寥,せきりょう｜ひっそりと寂しい様子,literature
光芒,こうぼう｜光の筋,literature
曙光,しょこう｜夜明けの光,literature
恍惚,こうこつ｜うっとりする状態,literature
感慨,かんがい｜しみじみした思い,literature
風雅,ふうが｜上品な趣,literature
清廉,せいれん｜心が清く正しいこと,literature
淡然,たんぜん｜あっさりしている様子,literature
幽趣,ゆうしゅ｜奥ゆかしい趣,literature
閑雅,かんが｜静かで上品な様子,literature
佳境,かきょう｜物事の最も面白い場面,literature
星間物質,せいかんぶっしつ｜星と星の間にある物質,sf
光円錐,こうえんすい｜相対性理論の時空構造,sf
カイパーベルト,かいぱーべると｜太陽系外縁の天体帯,sf
亜光速,あこうそく｜光速に近い速度,sf
事象の地平面,じしょうのちへいめん｜ブラックホール境界,sf
量子トンネル現象,りょうしとんねるげんしょう｜量子の透過現象,sf
ドップラー効果,どっぷらーこうか｜波の周波数変化,sf
相対論的速度,そうたいろんてきそくど｜相対性理論で扱う速度,sf
観測可逆性,かんそくかぎゃくせい｜観測に関する物理概念,sf
フラクタル,ふらくたる｜自己相似構造,sf
核融合ドライヴ,かくゆうごうどらいぶ｜核融合推進装置,sf
イオンスラスター,いおんすらすたー｜イオン推進装置,sf
重力井戸,じゅうりょくいど｜重力ポテンシャルの概念,sf
オーベルト効果,おーべるとこうか｜宇宙航行での推進効率,sf
粒子ビーム,りゅうしびーむ｜高エネルギー粒子の流れ,sf
ペイロード,ぺいろーど｜輸送機器の搭載物,sf
スラスター,すらすたー｜推進装置,sf
重力波,じゅうりょくは｜時空のゆがみの波,sf
暗黒物質,あんこくぶっしつ｜観測できない物質,sf
イベントホライズン,いべんとほらいずん｜事象の地平面,sf
